participantID,StartDate,day,mood
sp10-01-08,2010-09-28T02:27:25Z,2010-09-13,Happy or content
sp10-01-08,2010-09-28T02:27:25Z,2010-09-14,Happy or content
sp10-01-08,2010-09-28T02:27:25Z,2010-09-15,Happy or content
sp10-01-08,2010-09-28T02:27:25Z,2010-09-16,Happy or content
sp10-01-08,2010-09-28T02:27:25Z,2010-09-17,Happy or content
sp10-01-08,2010-09-28T02:27:25Z,2010-09-18,Happy or content
sp10-01-08,2010-09-28T02:27:25Z,2010-09-19,Happy or content
sp10-01-46,2010-09-27T00:31:42Z,2010-09-13,Happy or content
sp10-01-46,2010-09-27T00:31:42Z,2010-09-14,Happy or content
sp10-01-46,2010-09-27T00:31:42Z,2010-09-15,Happy or content
sp10-01-46,2010-09-27T00:31:42Z,2010-09-16,Happy or content
sp10-01-46,2010-09-27T00:31:42Z,2010-09-17,Happy or content
sp10-01-46,2010-09-27T00:31:42Z,2010-09-18,Happy or content
sp10-01-46,2010-09-27T00:31:42Z,2010-09-19,Happy or content
sp10-01-38,2010-09-26T22:33:09Z,2010-09-13,Happy or content
sp10-01-38,2010-09-26T22:33:09Z,2010-09-14,Happy or content
sp10-01-38,2010-09-26T22:33:09Z,2010-09-15,Happy or content
sp10-01-38,2010-09-26T22:33:09Z,2010-09-16,Happy or content
sp10-01-38,2010-09-26T22:33:09Z,2010-09-17,Angry or frustrated
sp10-01-38,2010-09-26T22:33:09Z,2010-09-18,Angry or frustrated
sp10-01-38,2010-09-26T22:33:09Z,2010-09-19,Happy or content
sp10-01-40,2010-09-23T19:04:33Z,2010-09-13,Happy or content
sp10-01-40,2010-09-23T19:04:33Z,2010-09-14,Happy or content
sp10-01-40,2010-09-23T19:04:33Z,2010-09-15,Happy or content
sp10-01-40,2010-09-23T19:04:33Z,2010-09-16,Happy or content
sp10-01-40,2010-09-23T19:04:33Z,2010-09-17,Happy or content
sp10-01-40,2010-09-23T19:04:33Z,2010-09-18,Happy or content
sp10-01-40,2010-09-23T19:04:33Z,2010-09-19,Happy or content
sp10-01-39,2010-09-23T15:11:57Z,2010-09-13,Happy or content
sp10-01-39,2010-09-23T15:11:57Z,2010-09-14,Happy or content
sp10-01-39,2010-09-23T15:11:57Z,2010-09-15,Calm or peaceful
sp10-01-39,2010-09-23T15:11:57Z,2010-09-16,Stressed or anxious
sp10-01-39,2010-09-23T15:11:57Z,2010-09-17,Sad or depressed
sp10-01-39,2010-09-23T15:11:57Z,2010-09-18,Calm or peaceful
sp10-01-39,2010-09-23T15:11:57Z,2010-09-19,Happy or content
sp10-01-37,2010-09-23T07:05:43Z,2010-09-13,Calm or peaceful
sp10-01-37,2010-09-23T07:05:43Z,2010-09-14,Calm or peaceful
sp10-01-37,2010-09-23T07:05:43Z,2010-09-15,Calm or peaceful
sp10-01-37,2010-09-23T07:05:43Z,2010-09-16,Calm or peaceful
sp10-01-37,2010-09-23T07:05:43Z,2010-09-17,Calm or peaceful
sp10-01-37,2010-09-23T07:05:43Z,2010-09-18,Calm or peaceful
sp10-01-37,2010-09-23T07:05:43Z,2010-09-19,Calm or peaceful
sp10-01-22,2010-09-23T01:07:25Z,2010-09-13,Happy or content
sp10-01-22,2010-09-23T01:07:25Z,2010-09-14,Happy or content
sp10-01-22,2010-09-23T01:07:25Z,2010-09-15,Happy or content
sp10-01-22,2010-09-23T01:07:25Z,2010-09-16,Happy or content
sp10-01-22,2010-09-23T01:07:25Z,2010-09-17,Happy or content
sp10-01-22,2010-09-23T01:07:25Z,2010-09-18,Happy or content
sp10-01-22,2010-09-23T01:07:25Z,2010-09-19,Happy or content
sp10-01-23,2010-09-22T18:44:58Z,2010-09-13,Happy or content
sp10-01-23,2010-09-22T18:44:58Z,2010-09-14,Happy or content
sp10-01-23,2010-09-22T18:44:58Z,2010-09-15,Happy or content
sp10-01-23,2010-09-22T18:44:58Z,2010-09-16,Happy or content
sp10-01-23,2010-09-22T18:44:58Z,2010-09-17,Happy or content
sp10-01-23,2010-09-22T18:44:58Z,2010-09-18,Happy or content
sp10-01-23,2010-09-22T18:44:58Z,2010-09-19,Happy or content
sp10-01-45,2010-09-22T14:38:26Z,2010-09-13,Happy or content
sp10-01-45,2010-09-22T14:38:26Z,2010-09-14,Happy or content
sp10-01-45,2010-09-22T14:38:26Z,2010-09-15,Happy or content
sp10-01-45,2010-09-22T14:38:26Z,2010-09-16,Happy or content
sp10-01-45,2010-09-22T14:38:26Z,2010-09-17,Happy or content
sp10-01-45,2010-09-22T14:38:26Z,2010-09-18,Happy or content
sp10-01-45,2010-09-22T14:38:26Z,2010-09-19,Happy or content
sp10-01-25,2010-09-22T03:00:28Z,2010-09-13,Happy or content
sp10-01-25,2010-09-22T03:00:28Z,2010-09-14,Happy or content
sp10-01-25,2010-09-22T03:00:28Z,2010-09-15,Happy or content
sp10-01-25,2010-09-22T03:00:28Z,2010-09-16,Happy or content
sp10-01-25,2010-09-22T03:00:28Z,2010-09-17,Happy or content
sp10-01-25,2010-09-22T03:00:28Z,2010-09-18,Happy or content
sp10-01-25,2010-09-22T03:00:28Z,2010-09-19,Happy or content
sp10-01-48,2010-09-21T00:07:23Z,2010-09-13,Happy or content
sp10-01-48,2010-09-21T00:07:23Z,2010-09-14,Happy or content
sp10-01-48,2010-09-21T00:07:23Z,2010-09-15,Happy or content
sp10-01-48,2010-09-21T00:07:23Z,2010-09-16,Happy or content
sp10-01-48,2010-09-21T00:07:23Z,2010-09-17,Happy or content
sp10-01-48,2010-09-21T00:07:23Z,2010-09-18,Happy or content
sp10-01-48,2010-09-21T00:07:23Z,2010-09-19,Happy or content
sp10-01-30,2010-09-20T18:12:26Z,2010-09-13,Happy or content
sp10-01-30,2010-09-20T18:12:26Z,2010-09-13,Stressed or anxious
sp10-01-30,2010-09-20T18:12:26Z,2010-09-14,Happy or content
sp10-01-30,2010-09-20T18:12:26Z,2010-09-14,Stressed or anxious
sp10-01-30,2010-09-20T18:12:26Z,2010-09-15,Happy or content
sp10-01-30,2010-09-20T18:12:26Z,2010-09-16,Happy or content
sp10-01-30,2010-09-20T18:12:26Z,2010-09-17,Happy or content
sp10-01-30,2010-09-20T18:12:26Z,2010-09-17,Calm or peaceful
sp10-01-30,2010-09-20T18:12:26Z,2010-09-17,Stressed or anxious
sp10-01-30,2010-09-20T18:12:26Z,2010-09-17,Sad or depressed
sp10-01-30,2010-09-20T18:12:26Z,2010-09-18,Happy or content
sp10-01-30,2010-09-20T18:12:26Z,2010-09-19,Happy or content
sp10-01-49,2010-09-20T15:45:15Z,2010-09-13,Stressed or anxious
sp10-01-49,2010-09-20T15:45:15Z,2010-09-14,Happy or content
sp10-01-49,2010-09-20T15:45:15Z,2010-09-15,Happy or content
sp10-01-49,2010-09-20T15:45:15Z,2010-09-16,Happy or content
sp10-01-49,2010-09-20T15:45:15Z,2010-09-17,Happy or content
sp10-01-49,2010-09-20T15:45:15Z,2010-09-18,Happy or content
sp10-01-49,2010-09-20T15:45:15Z,2010-09-19,Happy or content
sp10-01-24,2010-09-20T15:18:37Z,2010-09-13,Happy or content
sp10-01-24,2010-09-20T15:18:37Z,2010-09-14,Happy or content
sp10-01-24,2010-09-20T15:18:37Z,2010-09-15,Happy or content
sp10-01-24,2010-09-20T15:18:37Z,2010-09-16,Happy or content
sp10-01-24,2010-09-20T15:18:37Z,2010-09-17,Happy or content
sp10-01-24,2010-09-20T15:18:37Z,2010-09-18,Happy or content
sp10-01-24,2010-09-20T15:18:37Z,2010-09-18,Calm or peaceful
sp10-01-24,2010-09-20T15:18:37Z,2010-09-19,Happy or content
sp10-01-24,2010-09-20T15:18:37Z,2010-09-19,Calm or peaceful
sp10-01-43,2010-09-20T13:40:14Z,2010-09-13,Happy or content
sp10-01-43,2010-09-20T13:40:14Z,2010-09-14,Calm or peaceful
sp10-01-43,2010-09-20T13:40:14Z,2010-09-15,Calm or peaceful
sp10-01-43,2010-09-20T13:40:14Z,2010-09-16,Happy or content
sp10-01-43,2010-09-20T13:40:14Z,2010-09-17,Happy or content
sp10-01-43,2010-09-20T13:40:14Z,2010-09-18,Calm or peaceful
sp10-01-43,2010-09-20T13:40:14Z,2010-09-19,Happy or content
sp10-01-18,2010-09-20T13:40:35Z,2010-09-13,Calm or peaceful
sp10-01-18,2010-09-20T13:40:35Z,2010-09-14,Calm or peaceful
sp10-01-18,2010-09-20T13:40:35Z,2010-09-15,Calm or peaceful
sp10-01-18,2010-09-20T13:40:35Z,2010-09-16,Calm or peaceful
sp10-01-18,2010-09-20T13:40:35Z,2010-09-17,Calm or peaceful
sp10-01-18,2010-09-20T13:40:35Z,2010-09-18,Calm or peaceful
sp10-01-18,2010-09-20T13:40:35Z,2010-09-19,Calm or peaceful
sp10-01-07,2010-09-20T13:28:21Z,2010-09-13,Happy or content
sp10-01-07,2010-09-20T13:28:21Z,2010-09-14,Happy or content
sp10-01-07,2010-09-20T13:28:21Z,2010-09-15,Happy or content
sp10-01-07,2010-09-20T13:28:21Z,2010-09-16,Happy or content
sp10-01-07,2010-09-20T13:28:21Z,2010-09-17,Happy or content
sp10-01-07,2010-09-20T13:28:21Z,2010-09-18,Happy or content
sp10-01-07,2010-09-20T13:28:21Z,2010-09-18,Stressed or anxious
sp10-01-07,2010-09-20T13:28:21Z,2010-09-19,Happy or content
sp10-01-07,2010-09-20T13:28:21Z,2010-09-19,Calm or peaceful
sp10-01-41,2010-09-20T13:11:52Z,2010-09-13,Happy or content
