person_participantID,date,activity_sum,activity_extreme_sum
fa10-01-08,10/13/2010,287,77
fa10-01-08,10/14/2010,791,435
fa10-01-08,10/15/2010,185,63
fa10-01-08,10/16/2010,263,81
fa10-01-08,10/17/2010,928,206
fa10-01-08,10/18/2010,521,634
fa10-01-08,10/19/2010,1017,335
fa10-01-08,10/20/2010,810,671
fa10-01-08,10/21/2010,582,294
fa10-01-08,10/22/2010,1108,358
fa10-01-08,10/23/2010,59,39
fa10-01-08,10/24/2010,914,253
fa10-01-08,10/25/2010,154,66
fa10-01-08,10/26/2010,598,544
fa10-01-08,10/27/2010,396,187
fa10-01-08,10/28/2010,72,68
fa10-01-08,10/29/2010,352,224
fa10-01-08,10/30/2010,754,481
fa10-01-08,10/31/2010,553,146
fa10-01-15,10/9/2010,685,638
fa10-01-15,10/12/2010,301,735
fa10-01-15,10/13/2010,191,275
fa10-01-15,10/14/2010,29,28
fa10-01-15,10/15/2010,348,451
fa10-01-15,10/16/2010,347,151
fa10-01-15,10/17/2010,142,106
fa10-01-15,10/18/2010,83,104
fa10-01-15,10/19/2010,195,198
fa10-01-15,10/20/2010,29,34
fa10-01-15,10/21/2010,177,186
fa10-01-15,10/22/2010,233,168
fa10-01-15,10/23/2010,148,90
fa10-01-15,10/24/2010,15,22
fa10-01-15,10/25/2010,89,88
fa10-01-15,10/26/2010,7,31
fa10-01-15,10/27/2010,221,129
fa10-01-15,10/28/2010,77,58
fa10-01-15,10/29/2010,142,290
fa10-01-15,10/30/2010,3,7
fa10-01-15,10/31/2010,0,1
fa10-01-24,10/27/2010,67,2
fa10-01-24,10/28/2010,75,66
fa10-01-24,10/29/2010,155,511
fa10-01-24,10/30/2010,354,326
fa10-01-24,10/31/2010,29,1
fa10-01-27,10/5/2010,1675,2597
fa10-01-27,10/6/2010,1587,1499
fa10-01-27,10/7/2010,268,380
fa10-01-27,10/8/2010,990,1988
fa10-01-27,10/9/2010,582,1495
fa10-01-27,10/10/2010,589,1334
fa10-01-27,10/11/2010,100,1021
fa10-01-27,10/12/2010,879,1322
fa10-01-27,10/13/2010,691,1256
fa10-01-27,10/14/2010,359,518
fa10-01-27,10/15/2010,682,1582
fa10-01-27,10/16/2010,740,1609
fa10-01-27,10/17/2010,342,1022
fa10-01-27,10/18/2010,387,629
fa10-01-27,10/19/2010,424,1116
fa10-01-27,10/20/2010,734,1037
fa10-01-27,10/21/2010,717,1297
fa10-01-27,10/22/2010,793,1618
