,source,target,funf_group
1,fa10-01-01,fa10-01-23,see-peer
2,fa10-01-01,sp10-01-32,see-peer
3,fa10-01-02,fa10-01-17,see-peer
4,fa10-01-02,sp10-01-48,see-peer
5,fa10-01-05,fa10-01-79,see-peer
6,fa10-01-05,fa10-01-81,see-peer
7,fa10-01-06,fa10-01-07,see-peer
8,fa10-01-06,fa10-01-39,see-peer
9,fa10-01-07,fa10-01-16,see-peer
10,fa10-01-07,fa10-01-52,see-peer
11,fa10-01-16,fa10-01-26,see-peer
12,fa10-01-16,fa10-01-34,see-peer
13,fa10-01-17,fa10-01-01,see-peer
14,fa10-01-17,sp10-01-40,see-peer
15,fa10-01-18,fa10-01-22,see-peer
16,fa10-01-18,fa10-01-43,see-peer
17,fa10-01-19,fa10-01-02,see-peer
18,fa10-01-19,sp10-01-08,see-peer
19,fa10-01-20,fa10-01-06,see-peer
20,fa10-01-20,fa10-01-54,see-peer
21,fa10-01-22,fa10-01-47,see-peer
22,fa10-01-22,sp10-01-19,see-peer
23,fa10-01-23,fa10-01-19,see-peer
24,fa10-01-23,fa10-01-74,see-peer
25,fa10-01-26,sp10-01-05,see-peer
26,fa10-01-26,sp10-01-18,see-peer
27,fa10-01-34,fa10-01-20,see-peer
28,fa10-01-34,sp10-01-18,see-peer
29,fa10-01-35,fa10-01-26,see-peer
30,fa10-01-35,fa10-01-69,see-peer
31,fa10-01-39,fa10-01-35,see-peer
32,fa10-01-39,fa10-01-52,see-peer
33,fa10-01-43,fa10-01-47,see-peer
34,fa10-01-43,fa10-01-71,see-peer
35,fa10-01-44,fa10-01-68,see-peer
36,fa10-01-44,fa10-01-81,see-peer
37,fa10-01-47,fa10-01-44,see-peer
38,fa10-01-47,fa10-01-59,see-peer
39,fa10-01-52,fa10-01-34,see-peer
40,fa10-01-52,fa10-01-69,see-peer
41,fa10-01-54,fa10-01-07,see-peer
42,fa10-01-54,sp10-01-56,see-peer
43,fa10-01-59,fa10-01-68,see-peer
44,fa10-01-59,fa10-01-79,see-peer
45,fa10-01-68,fa10-01-18,see-peer
46,fa10-01-68,fa10-01-72,see-peer
47,fa10-01-69,fa10-01-20,see-peer
48,fa10-01-69,sp10-01-05,see-peer
49,fa10-01-71,fa10-01-05,see-peer
50,fa10-01-71,fa10-01-44,see-peer
51,fa10-01-72,fa10-01-22,see-peer
