participantID,DateFirstInitialSurvey,DateSurvey2010_04,DateSurvey2010_05,DateSurvey2010_07,DateSurvey2010_11,DateSurvey2010_12,DateSurvey2011_03,DateSurvey2011_04
fa10-01-01,2010-10-13,NA,NA,NA,2010-11-09,NA,NA,2011-05-03
fa10-01-02,2010-10-15,NA,NA,NA,2010-11-10,2010-12-07,2011-03-09,2011-04-26
fa10-01-03,2010-10-12,NA,NA,NA,2010-11-17,2010-12-05,2011-03-21,2011-05-04
fa10-01-04,2010-10-17,NA,NA,NA,2010-11-17,2011-02-21,2011-03-22,2011-06-07
fa10-01-05,2010-10-14,NA,NA,NA,2010-11-15,2010-12-25,2011-03-07,2011-05-08
fa10-01-06,2010-10-14,NA,NA,NA,2010-11-09,2010-12-06,2011-03-07,2011-05-08
fa10-01-07,2010-10-12,NA,NA,NA,2010-11-09,2010-12-06,2011-03-07,2011-05-04
fa10-01-08,2010-10-12,NA,NA,NA,2010-11-11,2010-12-06,2011-03-11,2011-06-07
fa10-01-09,2010-10-13,NA,NA,NA,2010-11-14,NA,NA,NA
fa10-01-10,2010-10-12,NA,NA,NA,2010-11-09,NA,NA,NA
fa10-01-11,2010-10-12,NA,NA,NA,2010-11-11,2010-12-08,2011-03-07,2011-04-26
fa10-01-12,2010-10-12,NA,NA,NA,2010-11-09,2010-12-05,2011-03-07,2011-04-26
fa10-01-13,2010-10-13,NA,NA,NA,2010-11-09,2010-12-07,2011-03-09,2011-04-27
fa10-01-14,2010-10-13,NA,NA,NA,2010-11-09,2010-12-06,2011-03-07,2011-04-26
fa10-01-15,2010-10-12,NA,NA,NA,2010-11-10,2010-12-27,2011-03-18,2011-05-25
fa10-01-16,2010-10-13,NA,NA,NA,2010-11-09,2010-12-05,2011-03-09,2011-05-03
fa10-01-17,2010-10-14,NA,NA,NA,2010-11-17,2011-02-08,2011-03-14,2011-06-18
fa10-01-18,2010-10-12,NA,NA,NA,2010-11-17,2010-12-06,2011-03-09,2011-04-22
fa10-01-19,2010-10-13,NA,NA,NA,2010-11-17,2010-12-07,2011-03-14,2011-06-22
fa10-01-20,2010-10-13,NA,NA,NA,2010-11-12,2010-12-06,2011-03-14,2011-04-25
fa10-01-21,2010-10-12,NA,NA,NA,2010-11-09,2010-12-13,2011-03-14,2011-05-03
fa10-01-22,2010-10-13,NA,NA,NA,2010-11-09,2010-12-08,2011-03-14,2011-05-03
fa10-01-23,2010-10-12,NA,NA,NA,2010-11-09,2010-12-05,2011-03-07,2011-04-22
fa10-01-24,2010-10-13,NA,NA,NA,2010-11-09,2010-12-06,2011-03-07,2011-05-03
fa10-01-25,2010-10-13,NA,NA,NA,2010-11-16,2011-01-10,2011-03-14,2011-05-03
fa10-01-26,2010-10-12,NA,NA,NA,2010-11-09,2010-12-05,2011-03-07,2011-06-07
fa10-01-27,2010-10-12,NA,NA,NA,2010-11-14,2010-12-05,2011-03-14,2011-04-22
